Date,Title,URL
2025-01-13,"Standard Chartered Bank Nepal Limited has published a notice regarding the new interest rate for deposit and loan products and it's effective from 1st Magh, 2081.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-the-new-interest-rate-for-deposit-and-loan-products-and-its-effective-from-1st-magh-2081-2025-01-13
2024-12-15,"Standard Chartered Bank Nepal Limited has published a notice regarding the new interest rate for deposit and loan products and it's effective from 1st Poush, 2081.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-the-new-interest-rate-for-deposit-and-loan-products-and-its-effective-from-1st-poush-2081-2024-12-15
2024-12-15,Standard Chartered Bank Nepal Limited has published a notice to collect uncollected due dividend and urged its shareholders to dematerialize their shares/accounts within the given period of time.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-to-collect-uncollected-due-dividend-and-urged-its-shareholders-to-dematerialize-their-sharesaccounts-within-the-given-period-of-time-2024-12-15
2024-11-20,"Standard Chartered Bank Nepal Limited has announced its 38th AGM going to be held on 25th Mangsir, 2081 and has published its financial highlights of fiscal year 2080/81.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-announced-its-38th-agm-going-to-be-held-on-25th-mangsir-2081-and-has-published-its-financial-highlights-of-fiscal-year-208081-2024-11-20
2024-11-15,"Standard Chartered Bank Nepal Limited has published a notice regarding the new interest rate for deposit and loan products and it's effective from 1st Mangsir, 2081.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-the-new-interest-rate-for-deposit-and-loan-products-and-its-effective-from-1st-mangsir-2081-2024-11-15
2024-10-23,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 862.20 million and published its 1st quarter company analysis of the fiscal year 2081/82.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-86220-million-and-published-its-1st-quarter-company-analysis-of-the-fiscal-year-208182-2024-10-23
2024-10-16,"Standard Chartered Bank Nepal Limited has published a notice regarding the new interest rate for deposit and loan products and it's effective from 1st Kartik, 2081.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-the-new-interest-rate-for-deposit-and-loan-products-and-its-effective-from-1st-kartik-2081-2024-10-16
2024-09-16,"Standard Chartered Bank Nepal Limited has published a notice regarding the new interest rate for deposit and loan products and it's effective from 1st Ashwin, 2081.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-the-new-interest-rate-for-deposit-and-loan-products-and-its-effective-from-1st-ashwin-2081-2024-09-16
2024-08-16,"Standard Chartered Bank Nepal Limited has published a notice regarding the new interest rate for deposit products and it's effective from 1st Bhadra, 2081.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-the-new-interest-rate-for-deposit-products-and-its-effective-from-1st-bhadra-2081-2024-08-16
2024-08-15,Standard Chartered Bank Nepal Limited has published a notice regarding a claim for lost share certificates.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-a-claim-for-lost-share-certificates-2024-08-15
2024-08-04,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 3.30 billion and published its 4th quarter company analysis of the fiscal year 2080/81.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-330-billion-and-published-its-4th-quarter-company-analysis-of-the-fiscal-year-208081-2024-08-04
2024-07-15,"Standard Chartered Bank Nepal Limited has published a notice regarding the new interest rate for deposit and loan products and it's effective from 1st Shrawan, 2081.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-the-new-interest-rate-for-deposit-and-loan-products-and-its-effective-from-1st-shrawan-2081-2024-07-15
2024-07-04,Standard Chartered Bank Nepal Limited has published a notice regarding a claim for lost share certificates.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-a-claim-for-lost-share-certificates-2024-07-04
2024-06-14,"Standard Chartered Bank Nepal Limited has published a notice regarding the new interest rate for deposit and loan products and it's effective from 1st Ashad, 2081.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-the-new-interest-rate-for-deposit-and-loan-products-and-its-effective-from-1st-ashad-2081-2024-06-14
2024-05-13,"Standard Chartered Bank Nepal Limited has published a notice regarding the new interest rate for deposit and loan products and it's effective from 1st Jestha, 2081.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-the-new-interest-rate-for-deposit-and-loan-products-and-its-effective-from-1st-jestha-2081-2024-05-13
2024-04-19,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 2.44 billion and published its 3rd quarter company analysis of the fiscal year 2080/81.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-244-billion-and-published-its-3rd-quarter-company-analysis-of-the-fiscal-year-208081-2024-04-19
2024-04-15,"Standard Chartered Bank Nepal Limited has made some amendments on its new interest rate which was published on 30th Chaitra, 2080.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-made-some-amendments-on-its-new-interest-rate-which-was-published-on-30th-chaitra-2080-2024-04-15
2024-04-12,"Standard Chartered Bank Nepal Limited has published a notice regarding the new interest rate for deposit and loan products and it's effective from 1st Baisakh, 2081.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-the-new-interest-rate-for-deposit-and-loan-products-and-its-effective-from-1st-baisakh-2081-2024-04-12
2024-04-05,Standard Chartered Bank Nepal Limited has published its annual financial statement of the fiscal year 2079/80.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-its-annual-financial-statement-of-the-fiscal-year-207980-2024-04-05
2024-04-04,Standard Chartered Bank Nepal Limited has published a notice regarding a claim for lost share certificates.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-a-claim-for-lost-share-certificates-2024-04-04
2024-03-13,"Standard Chartered Bank Nepal Limited has published a notice regarding the new interest rate for deposit and loan products and it's effective from 1st Chaitra, 2080.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-the-new-interest-rate-for-deposit-and-loan-products-and-its-effective-from-1st-chaitra-2080-2024-03-13
2024-02-12,"Standard Chartered Bank Nepal Limited has published a notice regarding the new interest rate for deposit and loan products and it's effective from 1st Falgun, 2080.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-the-new-interest-rate-for-deposit-and-loan-products-and-its-effective-from-1st-falgun-2080-2024-02-12
2024-01-26,Standard Chartered Bank Nepal Limited has published a notice to collect uncollected due dividend and urged its shareholders to dematerialize their shares/accounts.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-to-collect-uncollected-due-dividend-and-urged-its-shareholders-to-dematerialize-their-sharesaccounts-2024-01-26
2024-01-21,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 1.72 billion and published its 2nd quarter company analysis of the fiscal year 2080/81.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-172-billion-and-published-its-2nd-quarter-company-analysis-of-the-fiscal-year-208081-2024-01-21
2024-01-19,Standard Chartered Bank Nepal Limited has published a notice to collect uncollected due dividend and urged its shareholders to dematerialize their shares/accounts within the given period of time.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-to-collect-uncollected-due-dividend-and-urged-its-shareholders-to-dematerialize-their-sharesaccounts-within-the-given-period-of-time-2024-01-19
2024-01-14,"Standard Chartered Bank Nepal Limited has published a notice regarding the new interest rate for deposit and loan products and it's effective from 1st Magh, 2080.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-the-new-interest-rate-for-deposit-and-loan-products-and-its-effective-from-1st-magh-2080-2024-01-14
2023-12-15,"Standard Chartered Bank Nepal Limited has published a notice regarding the new interest rate for deposit and loan products and it's effective from 1st Poush, 2080.",https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-the-new-interest-rate-for-deposit-and-loan-products-and-its-effective-from-1st-poush-2080-2023-12-15
2023-12-03,Standard Chartered Bank Nepal Limited has published a notice regarding a claim for lost share certificates.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-notice-regarding-a-claim-for-lost-share-certificates-2023-12-03
